ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
44,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdgebouw Arbeidsbemiddeling,Granaat N.V.,Redelijk,diensten/ in gebruik,Paramaribo,Mr. E. Brumastraat   52,Onbekend,13-Aug-20
45,ARBEID WERKGELEGENHEID & JEUGZAKEN,Buro Minister,Granaat N.V.,Redelijk,diensten/ in gebruik,Paramaribo,Mr. E. Brumastraat   52,Onbekend,13-Aug-20
46,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdburo Bemiddelingsraad van geheel Suriname,Staat van Suriname,Redelijk,in gebruik,Paramaribo,Prinshendrikstraat  17,Onbekend,13-Aug-20
47,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdgebouw Arbeids Inspectie,Staat van Suriname,Zeer slecht,niet in gebruik/ moet gerenoveerd worden,Paramaribo,Watermolenstraat,Onbekend,13-Aug-20
48,ARBEID WERKGELEGENHEID & JEUGZAKEN,Arbeid (tbv Parkeerruimte pers. Arbeids Inspectie),Ramawadh Doebe,Redelijk,diensten/ in gebruik,Paramaribo,Gemenelandsweg  85,Onbekend,13-Aug-20
49,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdgebouw (S.A.O.),Staat van Suriname,Goed,in gebruik,Paramaribo,Difoestraat  29,Onbekend,13-Aug-20
50,ARBEID WERKGELEGENHEID & JEUGZAKEN,S.A.O. 2 (gebouw Arbeid),Staat van Suriname,Redelijk,in gebruik,Paramaribo,Gravenbergstraat  2,Onbekend,13-Aug-20
51,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdgebouw (Sivis),Samenweerkende Surinaamse Vakbonden in Suriname (S.S.V.S),Goed,in gebruik,Paramaribo,Arabiestraat  7,Onbekend,13-Aug-20
52,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdgebouw Arbeids Inspectie,Ramawadh Doebe,Redelijk,diensten/ in gebruik,Paramaribo,Gemenlandsweg  83,Onbekend,13-Aug-20
53,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,MinBuZa- Hoofdkwartier,Eigendom,,in gebruik,Paramaribo,Henck Arronstraat  6-8,Onbekend,13-Aug-20
54,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,MinBuZa,Eigendom,Renovatie,,Paramaribo,Watermolenstraat  25,Onbekend,13-Aug-20
55,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,OAS-Mr. Jimmy Narain,Gehuurd,,in gebruik tot 2021,Paramaribo,Fredericistraat  5a,Onbekend,13-Aug-20
56,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,UN house- Gideon Advisory Se,Gehuurd,,in gebruik tot 2021,Paramaribo,Gongrijpstraat 25,Onbekend,13-Aug-20
57,GRONDBELEID EN BOSBEHEER,Gebouw,Eigendom van de Staat,Slecht,leegstaand,Paramaribo,Gemenelandsweg tegen over de brandweer,Buitenposten (Jachtopzieners),17-Aug-20
58,GRONDBELEID EN BOSBEHEER,Gebouw,Eigendom van de Staat,Slecht,leegstaand,Paramaribo,Prinsessestraat,Buitenposten (Jachtopzieners),17-Aug-20
59,GRONDBELEID EN BOSBEHEER,SBB,Huur,Goed,in gebruik,Paramaribo,Ds. Martin Luther Kingweg,Kantoor,17-Aug-20
