ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
477,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Uitkijk,Eigendom,Redelijk,,,Wanicakanaalweg  9,Directoraat Onderwijs,9-Oct-20
478,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Jarikaba,Eigendom,Redelijk,,,Gros Michelweg  5,Directoraat Onderwijs,9-Oct-20
479,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Wageningen,Eigendom,Redelijk,,,Kerkplein  3-5,Directoraat Onderwijs,9-Oct-20
480,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Wageningen,Eigendom,Redelijk,,,Kerkplein  1,Directoraat Onderwijs,9-Oct-20
481,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. III Wageningen,Eigendom,Redelijk,,,Plein 1952,Directoraat Onderwijs,9-Oct-20
482,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Apoera,Eigendom,Redelijk,,,Awarastraat  16,Directoraat Onderwijs,9-Oct-20
483,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Totness,Eigendom,Redelijk/Slecht,,,Hendrik Fellerstraat  6,Directoraat Onderwijs,9-Oct-20
484,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Nw. Nickerie,Eigendom,Redelijk,,,D.C.B.J. Parabirsinghweg  71,Directoraat Onderwijs,9-Oct-20
485,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Nw. Nickerie,Eigendom,Redelijk,,,Waterloostraat  7,Directoraat Onderwijs,9-Oct-20
486,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Skroetjieweg,Eigendom,Redelijk,,,Skoerkiweg/Clarapolder,Directoraat Onderwijs,9-Oct-20
487,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bacovendam,Eigendom,Redelijk,,,BO Atrismanweg,Directoraat Onderwijs,9-Oct-20
488,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Longmay,Eigendom,Redelijk,,,Nieuwlaan SN 06-2,Directoraat Onderwijs,9-Oct-20
489,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Paradise,Eigendom,Redelijk,,,Ramawat Soechitweg A3A,Directoraat Onderwijs,9-Oct-20
490,ONDERWIJS WETENSCHAP EN CULTUUR,Dr. S. Rambaran Mishre,Eigendom,Redelijk,,,Saminweg SN 01-9,Directoraat Onderwijs,9-Oct-20
491,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Hamptoncourtpolder,Eigendom,Redelijk,,,Hamptoncourtpolder SD 58,Directoraat Onderwijs,9-Oct-20
492,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Hamptoncourtpolder,Eigendom,Redelijk,,,Parmessarweg D 36-37,Directoraat Onderwijs,9-Oct-20
493,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Delhiweg,Eigendom,Redelijk,,,Sidoredjo SB No. 1,Directoraat Onderwijs,9-Oct-20
494,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. III Nw. Nickerie,Eigendom,Redelijk,,,St. Jozefstraat  37,Directoraat Onderwijs,9-Oct-20
495,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. IV Nw. Nickerie,Eigendom,Redelijk,,,St. Jozefstraat  37,Directoraat Onderwijs,9-Oct-20
496,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Zeedijk,Eigendom,Redelijk,,,L.J. Bogorstraat ,Directoraat Onderwijs,9-Oct-20
497,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. van Pettenpolder,Eigendom,Redelijk,,,Acornistraat  20,Directoraat Onderwijs,9-Oct-20
498,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Groot Henarpolder,Eigendom,Redelijk,,,Jasmijrijstweg  29,Directoraat Onderwijs,9-Oct-20
499,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Klein Henarpolder,Eigendom,Redelijk,,,Klein Henarpolder SN 010-6,Directoraat Onderwijs,9-Oct-20
500,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. R. Laigsingh,Eigendom,Redelijk,,,Dr. S.R. Mishreweg 01-2,Directoraat Onderwijs,9-Oct-20
501,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Kisoensingh,Eigendom,Redelijk,,,Malabarweg  12,Directoraat Onderwijs,9-Oct-20
502,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Phedra,Eigendom,Redelijk/Slecht ,,,Phedra,Directoraat Onderwijs,9-Oct-20
503,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Brokopondo,Eigendom,Redelijk,,,Adoengaleweg  6,Directoraat Onderwijs,9-Oct-20
504,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Compagniekreek,Eigendom,Redelijk,,,Campagniekreek,Directoraat Onderwijs,9-Oct-20
505,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Victoria,Eigendom,Redelijk,,,Asigron/Victoria,Directoraat Onderwijs,9-Oct-20
506,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Lebidoti/Dep. Bakoe,Eigendom,Redelijk,,,Lebidoti,Directoraat Onderwijs,9-Oct-20
507,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Brownsweg,Eigendom,Redelijk,,,Brownsweg,Directoraat Onderwijs,9-Oct-20
508,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bambi,Eigendom,Redelijk,,,Letterhoutstraat,Directoraat Onderwijs,9-Oct-20
509,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Santen,Eigendom,Redelijk,,,Samanstraat  77/Moengo,Directoraat Onderwijs,9-Oct-20
510,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Wonoredjo,Eigendom,Redelijk,,,Karnawistraat  9,Directoraat Onderwijs,9-Oct-20
511,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Ricanaumofo,Eigendom,Redelijk,,,Ricanaumofo,Directoraat Onderwijs,9-Oct-20
512,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Zinkkampoe,Eigendom,Goed,,,Bursideweg  201,Directoraat Onderwijs,9-Oct-20
513,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Albina I,Eigendom,Redelijk,,,Mo. Joenoes Williamstraat,Directoraat Onderwijs,9-Oct-20
515,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Albina II,Eigendom,Goed,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
516,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bigi Ston,Eigendom,Redelijk,,,Bigi Ston,Directoraat Onderwijs,9-Oct-20
517,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Gakaba,Eigendom,Redelijk,,,Gakaba,Directoraat Onderwijs,9-Oct-20
518,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Ampumatapu,Eigendom,Redelijk,,,Ampumatapu,Directoraat Onderwijs,9-Oct-20
519,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Loka Loka,Eigendom,Redelijk,,,Loka Loka,Directoraat Onderwijs,9-Oct-20
520,ONDERWIJS WETENSCHAP EN CULTUUR,O.S.Goninkreekmofo,Eigendom,Redelijk,,,Goninkreekmofo,Directoraat Onderwijs,9-Oct-20
521,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Dan,Eigendom,Redelijk,,,Dan,Directoraat Onderwijs,9-Oct-20
522,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Kuldipsinghproject,Eigendom,Redelijk,,,Kuldipsinghproject,Directoraat Onderwijs,9-Oct-20
523,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Welgelegen,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
524,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Middenpad Kwatta,Eigendom,Redelijk,,,Middenpad Kwatta,Directoraat Onderwijs,9-Oct-20
525,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Garnizoenspad,Eigendom,Redelijk,,,Garnizoenspad,Directoraat Onderwijs,9-Oct-20
526,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Pomona,Eigendom,Redelijk,,,Pomona,Directoraat Onderwijs,9-Oct-20
527,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Jan Veldema,Eigendom,Redelijk,,,Jan Veldema,Directoraat Onderwijs,9-Oct-20
528,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Domburg,Eigendom,Redelijk,,,Domburg,Directoraat Onderwijs,9-Oct-20
529,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Laarwijk,Eigendom,Redelijk,,,Laarwijk,Directoraat Onderwijs,9-Oct-20
530,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Comm. Simonspolder,Eigendom,Redelijk,,,Simonspolder,Directoraat Onderwijs,9-Oct-20
531,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Accaribo,Eigendom,Redelijk,,,Accaribo,Directoraat Onderwijs,9-Oct-20
532,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Hockey I,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
533,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Hockey II,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
534,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Santopolder,Eigendom,Redelijk,,,Santopolder,Directoraat Onderwijs,9-Oct-20
535,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Sunnypoint I,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
536,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Sunnypoint II,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
537,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Zinniastraat,Eigendom,Redelijk,,,Zinniastraat,Directoraat Onderwijs,9-Oct-20
538,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Flustraat,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
539,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Flustraat,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
540,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Rampat Jagroep,Eigendom,Redelijk,,,Rampat Jagroep,Directoraat Onderwijs,9-Oct-20
541,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Mottonshoop,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
542,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Tammengaproject,Eigendom,Redelijk,,,Tammengaproject,Directoraat Onderwijs,9-Oct-20
544,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Balona,Eigendom,Redelijk,,,Balona,Directoraat Onderwijs,9-Oct-20
545,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Sophia's Lust,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
546,ONDERWIJS WETENSCHAP EN CULTUUR,M.A. Taus,Eigendom,Redelijk,,,Taus,Directoraat Onderwijs,9-Oct-20
547,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bigi Poika,Eigendom,Redelijk,,,Bigi Poika,Directoraat Onderwijs,9-Oct-20
548,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Pikien Saron,Eigendom,Redelijk,,,Pikien Saron,Directoraat Onderwijs,9-Oct-20
549,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Leiding 8a,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
550,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Witagron ,Eigendom,Redelijk,,,Witagron,Directoraat Onderwijs,9-Oct-20
551,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Debie Sahaiweg,Eigendom,Redelijk,,,Debie Sahaiweg,Directoraat Onderwijs,9-Oct-20
552,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Magentapolder,Eigendom,Redelijk,,,Magentapolder,Directoraat Onderwijs,9-Oct-20
553,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Gijsbertusstraat,Eigendom,Redelijk,,,Gijsbertusstraat,Directoraat Onderwijs,9-Oct-20
554,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Ma Retraite,Eigendom,Redelijk,,,Ma Retraite,Directoraat Onderwijs,9-Oct-20
555,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Winti Waiproject,Eigendom,Redelijk,,,Winti Waiproject,Directoraat Onderwijs,9-Oct-20
556,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Pontbuiten,Eigendom,Redelijk,,,Pontbuiten,Directoraat Onderwijs,9-Oct-20
557,ONDERWIJS WETENSCHAP EN CULTUUR,Julius Lobato,Eigendom,Redelijk,,,Julius Lobato,Directoraat Onderwijs,9-Oct-20
558,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Majosteeg,Eigendom,Redelijk,,,Majosteeg,Directoraat Onderwijs,9-Oct-20
559,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Goejaba,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
560,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Goejaba,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
561,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Grantatai,Eigendom,Redelijk,,,Grantatai,Directoraat Onderwijs,9-Oct-20
562,ONDERWIJS WETENSCHAP EN CULTUUR,Dep. O.S. Bendikwai,Eigendom,Redelijk,,,Bendikwai,Directoraat Onderwijs,9-Oct-20
563,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Godo,Eigendom,Redelijk,,,Godo,Directoraat Onderwijs,9-Oct-20
564,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Makandi,Eigendom,Redelijk,,,Makandi,Directoraat Onderwijs,9-Oct-20
565,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bofokule,Eigendom,Redelijk,,,Bofokule,Directoraat Onderwijs,9-Oct-20
566,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Duatra,Eigendom,Redelijk/Goed,,,Duatra,Directoraat Onderwijs,9-Oct-20
567,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Nw. Aurora,Eigendom,Redelijk,,,Aurora,Directoraat Onderwijs,9-Oct-20
568,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Pusugrunu,Eigendom,Redelijk,,,Pusugrunu,Directoraat Onderwijs,9-Oct-20
569,ONDERWIJS WETENSCHAP EN CULTUUR,Granman Akontoe Velanti,Eigendom,Redelijk,,,Velanti,Directoraat Onderwijs,9-Oct-20
570,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Manlobi,Eigendom,Redelijk,,,Manlobi,Directoraat Onderwijs,9-Oct-20
571,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Peleloe Tepu,Eigendom,Redelijk,,,Peleloe Tepu,Directoraat Onderwijs,9-Oct-20
572,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Palumeu,Eigendom,Redelijk,,,Palumeu,Directoraat Onderwijs,9-Oct-20
573,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Kananoe Apetina,Eigendom,Redelijk,,,Kananoe Apetina,Directoraat Onderwijs,9-Oct-20
574,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Kwamalasamutu,Eigendom,Redelijk,,,Kwamalasamutu,Directoraat Onderwijs,9-Oct-20
575,ONDERWIJS WETENSCHAP EN CULTUUR,Dep. O.S. Alalapadu,Eigendom,Redelijk,,,Alalapadu,Directoraat Onderwijs,9-Oct-20
576,ONDERWIJS WETENSCHAP EN CULTUUR,Dep. O.S. Berrie Wijten,Eigendom,Redelijk,,,Berrie Wijten,Directoraat Onderwijs,9-Oct-20
577,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Santodorp,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
578,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Santodorp,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
579,ONDERWIJS WETENSCHAP EN CULTUUR,o.s. I Latourproject ,Eigendom,Redelijk,,,I Latourproject,Directoraat Onderwijs,9-Oct-20
580,ONDERWIJS WETENSCHAP EN CULTUUR,o.s. II Latourproject ,Eigendom,Redelijk,,,II Latourproject,Directoraat Onderwijs,9-Oct-20
581,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Onverdacht,Eigendom,Redelijk,,,Onverdacht,Directoraat Onderwijs,9-Oct-20
582,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Onverwacht,Eigendom,Redelijk,,,Onverwacht,Directoraat Onderwijs,9-Oct-20
583,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Lelydorp,Eigendom,Redelijk,,,Lelydorp,Directoraat Onderwijs,9-Oct-20
584,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Rijsdijk,Eigendom,Redelijk,,,Rijsdijk,Directoraat Onderwijs,9-Oct-20
585,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Reebergproject,Eigendom,Redelijk,,,Reebergproject,Directoraat Onderwijs,9-Oct-20
586,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Javaweg,Eigendom,Redelijk,,,Javaweg,Directoraat Onderwijs,9-Oct-20
587,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Koewarasan I,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
588,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Koewarasan II,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
589,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bomapolder,Eigendom,Redelijk,,,Bomapolder,Directoraat Onderwijs,9-Oct-20
590,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Hendrik Ahmadien Iszaak,Eigendom,Redelijk,,,Hendrik Ahmadien Iszaak,Directoraat Onderwijs,9-Oct-20
591,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Anne Bakker,Eigendom,Redelijk,,,Anne Bakker,Directoraat Onderwijs,9-Oct-20
592,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Mijnzorg,Eigendom,Redelijk,,,Mijnzorg,Directoraat Onderwijs,9-Oct-20
593,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Schotelweg,Eigendom,Redelijk,,,Schotelweg,Directoraat Onderwijs,9-Oct-20
594,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Afaka,Eigendom,Redelijk,,,Afaka,Directoraat Onderwijs,9-Oct-20
595,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Zanderij,Eigendom,Redelijk,,,Zanderij,Directoraat Onderwijs,9-Oct-20
596,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Meerzorg,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
597,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Meerzorg,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
598,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. III Meerzorg,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
599,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. IV Meerzorg,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
600,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Rust en Werk,Eigendom,Redelijk,,,Rust en Werk,Directoraat Onderwijs,9-Oct-20
601,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Nieuw Amsterdam,Eigendom,Redelijk,,,Nieuw Amsterdam,Directoraat Onderwijs,9-Oct-20
602,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Lust en Rust,Eigendom,Redelijk,,,Lust en Rust,Directoraat Onderwijs,9-Oct-20
603,ONDERWIJS WETENSCHAP EN CULTUUR,O.S Kroonenburg,Eigendom,Redelijk,,,Kroonenburg,Directoraat Onderwijs,9-Oct-20
604,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Reynsdorp,Eigendom,Redelijk,,,Reynsdorp,Directoraat Onderwijs,9-Oct-20
605,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Marienburg,Eigendom,Redelijk,,,Marienburg,Directoraat Onderwijs,9-Oct-20
606,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Alkmaar,Eigendom,Redelijk,,,Alkmaar,Directoraat Onderwijs,9-Oct-20
607,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. De Hulp,Eigendom,Redelijk,,,De Hulp,Directoraat Onderwijs,9-Oct-20
608,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Tamanredjo,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
609,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Tamanredjo,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
610,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Mahoproject,Eigendom,Redelijk,,,Mahoproject,Directoraat Onderwijs,9-Oct-20
611,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Kampong Baroe,Eigendom,Redelijk,,,Kampong Baroe,Directoraat Onderwijs,9-Oct-20
612,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Sidoredjo,Eigendom,Redelijk,,,Sidoredjo,Directoraat Onderwijs,9-Oct-20
613,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Von Freyburg,Eigendom,Redelijk,,,Von Freyburg,Directoraat Onderwijs,9-Oct-20
614,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Calcutta I,Eigendom,Redelijk,,,Arminavallenweg,Directoraat Onderwijs,9-Oct-20
615,ONDERWIJS WETENSCHAP EN CULTUUR,George Asin,Eigendom,Redelijk,,,Dr. Sophie Redmonstraat,Directoraat Onderwijs,9-Oct-20
616,ONDERWIJS WETENSCHAP EN CULTUUR,Wim Bos Verschuur,Eigendom,Redelijk,,,Boulangerstraat  3,Directoraat Onderwijs,9-Oct-20
617,ONDERWIJS WETENSCHAP EN CULTUUR,A.T. Calor,Eigendom,Redelijk,,,Dr. Sophie Redmonstraat,Directoraat Onderwijs,9-Oct-20
618,ONDERWIJS WETENSCHAP EN CULTUUR,KRS. Coleridge,Eigendom,Redelijk,,,Ormosiastraat,Directoraat Onderwijs,9-Oct-20
619,ONDERWIJS WETENSCHAP EN CULTUUR,J. E. Dennert,Eigendom,Redelijk,,,Achillesstraat 4-6,Directoraat Onderwijs,4-Nov-20
620,ONDERWIJS WETENSCHAP EN CULTUUR,Hendrik,Eigendom,Redelijk/Slecht,,,Henk Arronstraat,Directoraat Onderwijs,4-Nov-20
621,ONDERWIJS WETENSCHAP EN CULTUUR,M. C. Jessurun,Eigendom,Redelijk,,,Oude Charlesburg,Directoraat Onderwijs,4-Nov-20
622,ONDERWIJS WETENSCHAP EN CULTUUR,Marie Le Fevre,Eigendom,Redelijk,,,Lotjessteeg 9,Directoraat Onderwijs,4-Nov-20
623,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Geyersvlijt,Eigendom,Redelijk,,,Amistraat 1,Directoraat Onderwijs,4-Nov-20
624,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Latour 1,Eigendom,Redelijk,,,Mastklimmenstraat 49,Directoraat Onderwijs,4-Nov-20
625,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Latour 2,Eigendom,Redelijk,,,Mastklimmenstraat 49,Directoraat Onderwijs,4-Nov-20
626,ONDERWIJS WETENSCHAP EN CULTUUR,MGJ Poolschool,Eigendom,Redelijk,,,Marowijnestraat 8-10,Directoraat Onderwijs,4-Nov-20
627,ONDERWIJS WETENSCHAP EN CULTUUR,R. D. Simons,Eigendom,Redelijk,,,Simonsweg 7,Directoraat Onderwijs,4-Nov-20
628,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Kerklaan,Eigendom,Redelijk,,,Kerklaan 3,Directoraat Onderwijs,4-Nov-20
629,ONDERWIJS WETENSCHAP EN CULTUUR,H. G. Sylvester,Eigendom,Redelijk,,,Emielaan 3,Directoraat Onderwijs,4-Nov-20
630,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Botromankiweg,Eigendom,Redelijk/Goed,,,Botromankiweg,Directoraat Onderwijs,4-Nov-20
631,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Noordpoolweg 1,Eigendom,Redelijk/Goed,,,Noordpoolweg,Directoraat Onderwijs,4-Nov-20
632,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Noordpoolweg 2,Eigendom,Redelijk/Goed,,,Noordpoolweg,Directoraat Onderwijs,4-Nov-20
633,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Mulo 1 (LBO Nw. Dominee),Eigendom,Redelijk,,,Nw. Domineestraat,Directoraat Onderwijs,4-Nov-20
634,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Mulo 2 (AT Calor),Eigendom,Redelijk,,,Dr. Sophie Redmondstraat,Directoraat Onderwijs,4-Nov-20
635,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Mulo 3 (George Asin),Eigendom,Redelijk,,,Dr. Sophie Redmondstraat,Directoraat Onderwijs,4-Nov-20
636,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Mulo IV (Latour),Eigendom,Redelijk,,,Mastklimmenstraat 49,Directoraat Onderwijs,4-Nov-20
637,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Hockeystraat,Eigendom,Redelijk,,,Hockeystraat,Directoraat Onderwijs,4-Nov-20
638,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Flora,Eigendom,Redelijk/Goed,,,Lantanalaan,Directoraat Onderwijs,4-Nov-20
639,ONDERWIJS WETENSCHAP EN CULTUUR,Marinus van Doornstraat,Eigendom,Redelijk,,,Harold Ramdhanieweg,Directoraat Onderwijs,4-Nov-20
640,ONDERWIJS WETENSCHAP EN CULTUUR,Anton Leeuwin,Eigendom,Redelijk,,,Sitalweg 1e zijstraat,Directoraat Onderwijs,4-Nov-20
641,ONDERWIJS WETENSCHAP EN CULTUUR,Anton Resida,Eigendom,Redelijk,,,Comm. Weythingweg ,Directoraat Onderwijs,4-Nov-20
642,ONDERWIJS WETENSCHAP EN CULTUUR,Johannes Vrolijk,Eigendom,Redelijk,,,Fajalobielaan,Directoraat Onderwijs,4-Nov-20
643,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Schotelweg,Eigendom,Redelijk,,,Schotelweg,Directoraat Onderwijs,4-Nov-20
644,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Houttuin,Eigendom,Redelijk,,,Flamboyantlaan,Directoraat Onderwijs,4-Nov-20
645,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Kwatta,Eigendom,Redelijk,,,LC Parwanilaan 12,Directoraat Onderwijs,4-Nov-20
646,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Koewarasan,Eigendom,Redelijk,,,Bomapolder Serie 2,Directoraat Onderwijs,4-Nov-20
647,ONDERWIJS WETENSCHAP EN CULTUUR,Willem van Lier,Eigendom,Redelijk,,,Domburg 2e zijstraat,Directoraat Onderwijs,4-Nov-20
